player_code,last_season,full_name,team,shirt_number,position,height,birthdate,nationality
003733,2021,"ABALDE, ALBERTO",Real Madrid,6,Forward,2.02,1995-12-15,Spain
003527,2017,"ABASS, AWUDU",AX Armani Exchange Olimpia Milan,23,Guard,1.98,1993-01-27,Italy
001905,2009,"ABATAY, ALI ATA",Efes Pilsen,0,,,1994-01-21,Turkey
AKS,2003,"ABBIO, ALESSANDRO",Pamesa Valencia,7,Guard,1.91,1971-03-13,Italy
LQR,2006,"ABDUL-RAUF, MAHMOUD",Aris TT Bank,20,Guard,1.82,1969-03-09,United States of America
AWH,2008,"ABI, MUSTAFA",Efes Pilsen,10,Forward,1.97,1979-01-02,Turkey
002414,2010,"ABIA, LARRY",Power Electronics Valencia,31,Forward,1.95,1993-08-08,Spain
LNW,2008,"ABOUBAKAR ZAKI, AMADOU",SLUC Nancy,11,Center,2.14,1988-02-10,Niger
004191,2012,"ABOUDOU, JORDAN",Elan Chalon-Sur-Saone,11,Forward,2.03,1991-01-30,France
AWV,2001,"ABRAMS, DANYA",Unicaja,14,Forward,2.01,1974-09-24,United States of America
003478,2021,"ABRINES, ALEX",FC Barcelona,21,Forward,1.98,1993-08-01,Spain
005199,2019,"ABROMAITIS, TIM",Zenit St Petersburg,21,Forward,2.03,1989-09-17,United States of America
AWM,2012,"ACIK, TUTKU",Besiktas JK Istanbul,11,Guard,,1980-09-01,Turkey
LGC,2012,"ACKER, ALEX",Asseco Prokom Gdynia,11,Guard,1.95,1983-01-21,United States of America
009847,2021,"ACY, QUINCY",Olympiacos Piraeus,1,Forward,2.01,1990-10-06,United States of America
AYB,2001,"ADAMEK, ANDRZEJ",Idea Slask,13,Guard,,1975-01-06,Poland
005795,2015,"ADAMS, DARIUS",Laboral Kutxa Vitoria Gasteiz,20,Guard,1.89,1989-04-17,United States of America
007872,2017,"ADAMS, JOSH",Anadolu Efes Istanbul,14,Guard,1.88,1993-11-16,United States of America
AAA,2000,"ADAMS, THOMAS",Ovarense Aerosoles,12,Forward,2.03,1969-10-05,United States of America
AQG,2001,"ADE-MENSAH, ARSENE",Asvel Basket,6,Guard,1.82,1971-06-06,France
001290,2008,"ADELEKE, ANDREW",Alba Berlin,10,Forward,2.05,1983-02-10,Nigeria
002532,2012,"ADJAGBA, ULYSSE",Elan Chalon-Sur-Saone,8,Guard,1.84,1993-03-27,France
LHC,2006,"ADJIWANOU, FREDERIC",Le Mans,11,Forward,2.04,1980-07-17,France
AXZ,2002,"ADOMAITIS, DAINIUS",Idea Slask,11,Forward,,1974-01-19,Lithuania
JIX,2007,"AGADAKOS, LAZAROS",Aris TT Bank,15,Center,2.07,1980-01-01,Greece
004429,2018,"AGRAVANIS, DIMITRIS",Olympiacos Piraeus,21,Forward,2.08,1994-12-20,Greece
AYK,2001,"AGRON, XIARCHOS",Peristeri,8,Center,2.12,1981-07-01,Montenegro
KSF,2014,"AGUILAR, PABLO",Valencia Basket,34,Forward,2.05,1989-02-09,Spain
005171,2013,"AHEARN, BLAKE",Budivelnik Kiev,6,Guard,1.88,1984-05-27,United States of America
